PC 2861	PC 2861	23/09/2026	09:50	09:50		ORDU (OGU)	Domestic	Active	 Detail
PC 2891	PC 2891	23/09/2026	09:50	09:50		SINOP (NOP)	Domestic	Active	 Detail
PC 819	PC 819	23/09/2026	09:50	09:50		ARBIL (EBL)	International	Scheduled	 Detail
TK 351	TK 351	23/09/2026	09:35	09:53		ALMATY OBLYSY (ALA)	International	Active	 Detail
TK 608	TK 608	23/09/2026	09:45	09:53		NAIROBI AREA (NBO)	International	Active	 Detail
TK 2033	TK 2033	23/09/2026	10:00	09:53		KONYA (KYA)	Domestic	Active	 Detail
TK 557	TK 557	23/09/2026	10:15	09:59		LAGUNES (ABJ)	International	Active	 Detail
TK 711	TK 711	23/09/2026	09:05	10:00		PUNJAB (ISB)	International	Active	 Detail
VF 3143	VF 3143	23/09/2026	10:00	10:00		CASTELO BRANCO (COV)	International	Active	 Detail
VRH 6858	VRH 6858	23/09/2026	10:00	10:00		TEHRAN (IKA)	International	Scheduled	 Detail
TK 2855	TK 2855	23/09/2026	09:55	10:04		AMASYA (MZH)	Domestic	Active	 Detail
TK 849	TK 849	23/09/2026	10:25	10:04		RIF-DIMASHQ (DAM)	International	Active	 Detail
PC 1911	PC 1911	23/09/2026	10:05	10:05		LEFKOSIA (ECN)	International	Active	 Detail
PC 2403	PC 2403	23/09/2026	10:05	10:05		GAZIANTEP (GZT)	Domestic	Active	 Detail
VF 278	VF 278	23/09/2026	10:05	10:05		MOSKOVSKAYA (VKO)	International	Scheduled	 Detail
TK 2503	TK 2503	23/09/2026	10:05	10:10		MUGLA (BJV)	Domestic	Active	 Detail
PC 2813	PC 2813	23/09/2026	10:10	10:10		TRABZON (TZX)	Domestic	Active	 Detail
TK 2455	TK 2455	23/09/2026	10:10	10:11		CASTELO BRANCO (COV)	International	Active	 Detail
TK 97	TK 97	23/09/2026	09:55	10:12		MAKKAH (JED)	International	Active	 Detail
TK 2577	TK 2577	23/09/2026	09:45	10:13		DENIZLI (DNZ)	Domestic	Active	 Detail
VF 294	VF 294	23/09/2026	10:15	10:15		ST. PETERSBURG (LED)	International	Active	 Detail
