WA 1761	WA 1761	23/09/2026	09:35	09:35	 B20	BREMEN (BRE)	International	Scheduled	 Detail
KL 1465	KL 1465	23/09/2026	09:30	09:40	 C10	PROVENCE-ALPES-COTE D'AZUR (MRS)	International	Scheduled	 Detail
HV 5807	HV 5807	23/09/2026	09:40	09:40	 B5	CENTRAL MACEDONIA (SKG)	International	Scheduled	 Detail
KL 1851	KL 1851	23/09/2026	09:40	09:40	 C11	BAVARIA (MUC)	International	Scheduled	 Detail
WA 1303	WA 1303	23/09/2026	09:40	09:40	 B26	POMERANIAN VOIVODESHIP (GDN)	International	Scheduled	 Detail
KL 601	KL 601	23/09/2026	09:50	09:41	 E6	LOS ANGELES (LAX)	International	Scheduled	 Detail
KL 1603	KL 1603	23/09/2026	09:30	09:45	 D61	LATIUM (FCO)	International	Scheduled	 Detail
AF 1419	AF 1419	23/09/2026	09:45	09:45	 B6	PAYS DE LA LOIRE (NTE)	International	Scheduled	 Detail
KL 1031	KL 1031	23/09/2026	09:45	09:45	 D41	ENGLAND (MAN)	International	Scheduled	 Detail
KL 1231	KL 1231	23/09/2026	09:45	09:45		VAESTRA GOETALAND (GOT)	International	Canceled	 Detail
KL 1251	KL 1251	23/09/2026	09:45	09:45	 D82	HELSINKI (HEL)	International	Scheduled	 Detail
KL 1269	KL 1269	23/09/2026	09:45	09:45	 B35	CAPITAL REGION (CPH)	International	Scheduled	 Detail
KL 789	KL 789	23/09/2026	09:45	09:45	 E18	MARIGOT (SXM)	International	Scheduled	 Detail
KL 1137	KL 1137	23/09/2026	09:45	09:50	 D28	LEINSTER (DUB)	International	Scheduled	 Detail
WA 1931	WA 1931	23/09/2026	09:45	09:50	 B18	GENEVA (GVA)	International	Scheduled	 Detail
BT 725	BT 725	23/09/2026	09:50	09:50	 B3	ZURICH (ZRH)	International	Scheduled	 Detail
KL 1293	KL 1293	23/09/2026	09:50	09:50	 C12	SOUTH DENMARK (BLL)	International	Scheduled	 Detail
KL 605	KL 605	23/09/2026	09:50	09:50	 D43	CALIFORNIA (SFO)	International	Scheduled	 Detail
KL 741	KL 741	23/09/2026	09:50	09:50	 D2	CUNDINAMARCA (BOG)	International	Scheduled	 Detail
KL 1503	KL 1503	23/09/2026	09:35	09:51	 C5	MADRID (MAD)	International	Scheduled	 Detail
KL 1373	KL 1373	23/09/2026	09:25	09:54	 C13	ILFOV (OTP)	International	Scheduled	 Detail
BT 312	BT 312	23/09/2026	09:55	09:55	 B27	LOWER AUSTRIA (VIE)	International	Scheduled	 Detail
BT 858	BT 858	23/09/2026	09:55	09:55	 C21	HARJU (TLL)	International	Scheduled	 Detail
KL 1313	KL 1313	23/09/2026	09:55	09:55	 B7	MASOVIAN VOIVODESHIP (WAW)	International	Scheduled	 Detail
KL 743	KL 743	23/09/2026	09:55	09:55	 G7	CALLAO (LIM)	International	Scheduled	 Detail
WA 1653	WA 1653	23/09/2026	09:55	09:55	 B34	TUSCANY (FLR)	International	Scheduled	 Detail
WA 1175	WA 1175	23/09/2026	09:55	09:59	 B30	ROGALAND (SVG)	International	Scheduled	 Detail
WA 1639	WA 1639	23/09/2026	09:35	10:00	 B28	PIEDMONT (TRN)	International	Scheduled	 Detail
DL 161	DL 161	23/09/2026	09:40	10:00	 F8	MINNESOTA (MSP)	International	Scheduled	 Detail
BT 618	BT 618	23/09/2026	10:00	10:00	 C23	BABITE (RIX)	International	Scheduled	 Detail
CJ 8496	CJ 8496	23/09/2026	10:00	10:00	 D18	LONDON CITY AIRPORT (LCY)	International	Scheduled	 Detail
KL 1775	KL 1775	23/09/2026	10:00	10:00	 D74	BERLIN (BER)	International	Scheduled	 Detail
KL 1971	KL 1971	23/09/2026	10:00	10:00	 D86	SPLITSKO-DALMATINSKA (SPU)	International	Scheduled	 Detail
KL 661	KL 661	23/09/2026	10:00	10:00	 F6	GEORGE BUSH INTERCONTINENTAL AIRPORT (IAH)	International	Scheduled	 Detail
LH 987	LH 987	23/09/2026	10:00	10:00	 B31	HESSE (FRA)	International	Scheduled	 Detail
VY 8364	VY 8364	23/09/2026	10:00	10:01	 C16	MALAGA (AGP)	International	Scheduled	 Detail
KL 1475	KL 1475	23/09/2026	09:35	10:05	 D78	PROVENCE-ALPES-COTE D'AZUR (NCE)	International	Scheduled	 Detail
HV 6111	HV 6111	23/09/2026	10:05	10:05	 C22	MALAGA (AGP)	International	Scheduled	 Detail
BT 962	BT 962	23/09/2026	10:10	10:10	 B8	VILNIUS COUNTY (VNO)	International	Scheduled	 Detail
KL 569	KL 569	23/09/2026	10:10	10:10	 E9	ARUSHA (JRO)	International	Scheduled	 Detail
KL 597	KL 597	23/09/2026	10:10	10:10	 E24	WESTERN CAPE (CPT)	International	Scheduled	 Detail
U2 2162	U2 2162	23/09/2026	09:55	10:14		ENGLAND (MAN)	International	Scheduled	 Detail
BA 429	BA 429	23/09/2026	10:15	10:15	 D22	ENGLAND (LHR)	International	Scheduled	 Detail
FB 462	FB 462	23/09/2026	10:15	10:15	 B2	SOFIA-CAPITAL (SOF)	International	Scheduled	 Detail
FR 421	FR 421	23/09/2026	10:15	10:15	 H4	LEINSTER (DUB)	International	Scheduled	 Detail
KL 1005	KL 1005	23/09/2026	10:15	10:15	 D27	ENGLAND (LHR)	International	Scheduled	 Detail
KL 1365	KL 1365	23/09/2026	10:15	10:15	 B26	PEST (BUD)	International	Scheduled	 Detail
KL 755	KL 755	23/09/2026	10:15	10:15		PICHINCHA (UIO)	International	Scheduled	 Detail
U2 5606	U2 5606	23/09/2026	10:15	10:15		ENGLAND (NCL)	International	Scheduled	 Detail
VY 8352	VY 8352	23/09/2026	10:15	10:15	 C18	MANISES (VLC)	International	Scheduled	 Detail
WA 1977	WA 1977	23/09/2026	10:15	10:15	 B22	DUBROVACKO-NERETVANSKA (DBV)	International	Scheduled	 Detail
DL 47	DL 47	23/09/2026	10:10	10:20	 D3	NEW YORK (JFK)	International	Scheduled	 Detail
EC 1758	EC 1758	23/09/2026	10:20	10:20		PROVENCE-ALPES-COTE D'AZUR (NCE)	International	Scheduled	 Detail
KL 1513	KL 1513	23/09/2026	10:20	10:20	 C6	CATALONIA (BCN)	International	Scheduled	 Detail
PY 993	PY 993	23/09/2026	10:20	10:20	 G5	PARA (PBM)	International	Scheduled	 Detail
SQ 323	SQ 323	23/09/2026	10:20	10:20	 G9	SINGAPORE (SIN)	International	Scheduled	 Detail
WA 1753	WA 1753	23/09/2026	10:10	10:21	 B36	HAMBURG (HAM)	International	Scheduled	 Detail
KL 1615	KL 1615	23/09/2026	10:20	10:24	 C7	LOMBARDY (LIN)	International	Scheduled	 Detail
DL 73	DL 73	23/09/2026	10:25	10:25	 D47	ATLANTA (ATL)	International	Scheduled	 Detail
EY 44	EY 44	23/09/2026	10:25	10:25	 E4	ABU DHABI (AUH)	International	Scheduled	 Detail
KL 615	KL 615	23/09/2026	10:25	10:25	 E17	WASHINGTON (PDX)	International	Scheduled	 Detail
SK 552	SK 552	23/09/2026	10:25	10:25	 C8	CAPITAL REGION (CPH)	International	Scheduled	 Detail
VY 8301	VY 8301	23/09/2026	10:20	10:27	 C15	CATALONIA (BCN)	International	Scheduled	 Detail
LO 266	LO 266	23/09/2026	10:30	10:30	 B16	MASOVIAN VOIVODESHIP (WAW)	International	Scheduled	 Detail
KL 591	KL 591	23/09/2026	10:35	10:35	 E19	GAUTENG (JNB)	International	Scheduled	 Detail
VY 1376	VY 1376	23/09/2026	10:20	10:36	 C14	ALICANTE (ALC)	International	Scheduled	 Detail
AF 1341	AF 1341	23/09/2026	10:40	10:40	 C9	PARIS (CDG)	International	Scheduled	 Detail
KL 655	KL 655	23/09/2026	10:45	10:45		MINNESOTA (MSP)	International	Scheduled	 Detail
PC 1640	PC 1640	23/09/2026	10:45	10:45	 D24	KAYSERI (ASR)	International	Scheduled	 Detail
SL 822	SL 822	23/09/2026	10:45	10:45	 C10	AKERSHUS (OSL)	International	Scheduled	 Detail
DL 143	DL 143	23/09/2026	10:20	10:50	 D57	WASHINGTON (SEA)	International	Scheduled	 Detail
DL 57	DL 57	23/09/2026	10:50	10:50	 E20	UTAH (SLC)	International	Scheduled	 Detail
AA 203	AA 203	23/09/2026	10:55	10:55	 G1	PENNSYLVANIA (PHL)	International	Scheduled	 Detail
CI 74	CI 74	23/09/2026	11:00	11:00	 E8	TAIWAN (TPE)	International	Scheduled	 Detail
OR 367	OR 367	23/09/2026	11:00	11:00		SINT MICHIEL LIBER (CUR)	International	Scheduled	 Detail
UA 21	UA 21	23/09/2026	11:00	11:00	 G1	GEORGE BUSH INTERCONTINENTAL AIRPORT (IAH)	International	Scheduled	 Detail
UX 1098	UX 1098	23/09/2026	11:00	11:00	 D79	MADRID (MAD)	International	Scheduled	 Detail
DL 135	DL 135	23/09/2026	10:55	11:05	 D43	MICHIGAN (DTW)	International	Scheduled	 Detail
KL 1219	KL 1219	23/09/2026	11:05	11:05	 C23	STOCKHOLM (ARN)	International	Canceled	 Detail
SK 556	SK 556	23/09/2026	11:05	11:05	 C12	STOCKHOLM (ARN)	International	Scheduled	 Detail
U2 8673	U2 8673	23/09/2026	08:55	11:08		ENGLAND (LGW)	International	Scheduled	 Detail
WA 1799	WA 1799	23/09/2026	11:00	11:10	 B24	DUSSELDORF (DUS)	International	Scheduled	 Detail
LH 2303	LH 2303	23/09/2026	11:10	11:10	 B31	BAVARIA (MUC)	International	Scheduled	 Detail
LH 989	LH 989	23/09/2026	11:15	11:15	 B27	HESSE (FRA)	International	Scheduled	 Detail
TK 1952	TK 1952	23/09/2026	11:15	11:15	 E6	ISTANBUL (IST)	International	Scheduled	 Detail
UA 947	UA 947	23/09/2026	11:15	11:15	 G1	VIRGINIA (IAD)	International	Scheduled	 Detail
B6 32	B6 32	23/09/2026	11:20	11:20	 D25	MASSACHUSETTS (BOS)	International	Scheduled	 Detail
KL 691	KL 691	23/09/2026	11:20	11:20	 D4	ONTARIO (YYZ)	International	Scheduled	 Detail
OU 451	OU 451	23/09/2026	11:20	11:20	 C16	ZAGREBACKA (ZAG)	International	Scheduled	 Detail
EK 146	EK 146	23/09/2026	11:25	11:25	 G1	DUBAI (DXB)	International	Scheduled	 Detail
WA 1663	WA 1663	23/09/2026	11:25	11:25	 B32	EMILIA-ROMAGNA (BLQ)	International	Scheduled	 Detail
DL 243	DL 243	23/09/2026	11:25	11:35	 D43	MASSACHUSETTS (BOS)	International	Scheduled	 Detail
BA 431	BA 431	23/09/2026	11:35	11:35	 D16	ENGLAND (LHR)	International	Canceled	 Detail
CJ 8452	CJ 8452	23/09/2026	11:25	11:36	 D16	LONDON CITY AIRPORT (LCY)	International	Scheduled	 Detail
A9 652	A9 652	23/09/2026	11:40	11:40	 D23	DIDI LILO (TBS)	International	Scheduled	 Detail
RO 362	RO 362	23/09/2026	11:40	11:40	 C14	ILFOV (OTP)	International	Scheduled	 Detail
WA 1325	WA 1325	23/09/2026	11:40	11:40	 B6	LESSER POLAND VOIVODESHIP (KRK)	International	Scheduled	 Detail
WA 1989	WA 1989	23/09/2026	11:40	11:40	 B3	SENCUR (LJU)	International	Scheduled	 Detail
KL 1167	KL 1167	23/09/2026	11:45	11:45	 D82	HORDALAND (BGO)	International	Scheduled	 Detail
KL 877	KL 877	23/09/2026	11:45	11:45	 E7	MAHARASHTRA (BOM)	International	Scheduled	 Detail
AF 1431	AF 1431	23/09/2026	11:50	11:50	 B20	RHONE-ALPES (LYS)	International	Scheduled	 Detail
AZ 121	AZ 121	23/09/2026	11:50	11:50	 C15	LOMBARDY (LIN)	International	Scheduled	 Detail
KL 1903	KL 1903	23/09/2026	11:50	11:50	 D84	LOWER AUSTRIA (VIE)	International	Scheduled	 Detail
KL 927	KL 927	23/09/2026	11:50	11:50	 D41	SCOTLAND (EDI)	International	Scheduled	 Detail
KM 395	KM 395	23/09/2026	11:50	11:50	 B35	LUQA (MLA)	International	Scheduled	 Detail
WA 1645	WA 1645	23/09/2026	11:50	11:50	 B8	LIGURIA (GOA)	International	Scheduled	 Detail
WA 915	WA 915	23/09/2026	11:50	11:50	 D6	SCOTLAND (ABZ)	International	Scheduled	 Detail
